,Brand_name,Brand_detail_name,prices,RAM,Storage,Has_ssd,Core,Gen,Discount_Percentage,Operating_System,Warranty_Period,Space_Score
903,Lenovo,Lenovo Thinkpad P15v 21D8S05G00 Laptop ,148111,32,1024,1,i7,12,3.0,11,1,0
904,Lenovo,Lenovo ThinkPad P14s 21AKS02800 Laptop ,123271,16,512,1,i7,12,2.0,11,1,0
905,Asus,Asus Vivobook 15X OLED 2023 K3504VA-LK552WS Laptop ,69990,16,1024,1,i5,13,4.0,11,1,0
906,MSI,MSI GF63 Thin 11SC-1299IN Gaming Laptop ,50790,8,1024,1,i5,11,4.0,11,1,0
907,Asus,Asus Vivobook S14 Flip 2022 TN3402QA-LZ741WS Laptop ,64990,16,512,1,,,5.0,11,1,0
908,MSI,MSI GF63 Thin 11UC-1297IN Gaming Laptop ,52990,8,1024,1,i5,11,10.0,11,1,0
909,Asus,Asus Vivobook 15X 2023 K3504VAB-NJ541WS Laptop ,54990,16,512,1,i5,13,8.0,11,1,56
910,HP,HP Spectre x360 2023 13.5-ef2034TU Laptop ,148999,32,1024,1,i7,13,1.0,11,1,0
911,Asus,Asus VivoBook 14 2023 X1404VA-NK541WS Laptop ,59990,16,512,1,i5,13,4.0,11,1,58
912,Asus,Asus VivoBook 14 2023 X1404VA-NK321WS Laptop ,39990,8,512,1,i3,13,6.0,11,1,57
913,Asus,Asus Vivobook 15X OLED 2023 K3504VA-LK542WS Laptop ,65990,16,512,1,i5,13,2.0,11,1,0
914,Asus,Asus Vivobook 15 2023 X1502VA-NJ541WS Laptop ,71359,16,512,1,i5,13,12.0,11,1,0
915,Asus,Asus Vivobook 15 OLED 2023 X1505VA-LK542WS Laptop ,68990,16,512,1,i5,13,,11,1,0
916,Asus,Asus Vivobook Go 15 OLED 2023 E1504GA-LK322WS Laptop ,43580,8,512,1,,,1.0,11,1,53
917,Asus,Asus Zenbook 14 Flip OLED 2023 UP3404VA-KN542WS Laptop ,99990,16,512,1,i5,13,5.0,11,1,0
918,Asus,Asus Vivobook Go 15 2023 E1504GA-NJ322WS Laptop ,36815,8,512,1,,,5.0,11,1,51
